Sr. No.,bs4,LXML
1.0,0.21875,0.21875
2.0,0.140625,0.375
3.0,0.203125,0.625
4.0,0.296875,0.1875
5.0,0.359375,0.203125
6.0,0.28125,0.21875
7.0,0.21875,0.25
8.0,0.21875,0.296875
9.0,0.421875,0.15625
10.0,0.453125,0.1875
11.0,0.390625,0.1875
12.0,0.40625,0.21875
13.0,0.40625,0.15625
14.0,0.15625,0.25
15.0,0.421875,0.3125
16.0,0.3125,0.3125
17.0,0.328125,0.265625
18.0,0.1875,0.46875
19.0,0.15625,0.203125
20.0,0.375,0.109375
21.0,0.25,0.34375
22.0,0.375,0.234375
23.0,0.328125,0.203125
24.0,0.28125,0.21875
25.0,0.390625,0.203125
26.0,0.421875,0.15625
27.0,0.171875,0.203125
28.0,0.234375,0.203125
29.0,0.203125,0.28125
30.0,0.15625,0.21875
31.0,0.3125,0.34375
32.0,0.34375,0.1875
33.0,0.1875,0.25
34.0,0.09375,0.296875
35.0,0.40625,0.453125
36.0,0.390625,0.40625
37.0,0.3125,0.265625
38.0,0.203125,0.171875
39.0,0.1875,0.265625
40.0,0.203125,0.296875
41.0,0.203125,0.328125
42.0,0.125,0.265625
43.0,0.328125,0.4375
44.0,0.171875,0.21875
45.0,0.15625,0.40625
46.0,0.234375,0.34375
47.0,0.3125,0.296875
48.0,0.140625,0.25
49.0,0.296875,0.25
50.0,0.25,0.234375
